 1.9753851398296010e+003     8.8919550810233385e+000     1.9603609646615641e+003     1.0165854470096131e-003     1.0000000000000000e-003    -1.5024175168036891e+001     9.9177162008643324e+002    
 1.9298664577841362e+003     8.8685646203207593e+000     1.9148481925245146e+003     1.0406595130024385e-003     1.0232929922807535e-003    -1.5018265259621558e+001     9.6901059757694168e+002    
 1.8853842203990928e+003     8.8451658266076230e+000     1.8703719989009076e+003     1.0653129122781260e-003     1.0471285480508985e-003    -1.5012221498185227e+001     9.4676775932450414e+002    
 1.8419148423442170e+003     8.8217585132056389e+000     1.8269088014023475e+003     1.0905600127329414e-003     1.0715193052376049e-003    -1.5006040941869514e+001     9.2503131182872983e+002    
 1.7994352753128269e+003     8.7983424894347433e+000     1.7844355547244816e+003     1.1164155579590977e-003     1.0964781961431828e-003    -1.4999720588345326e+001     9.0378973008184721e+002    
 1.7579229957925902e+003     8.7749175605266281e+000     1.7429297384188242e+003     1.1428946779191351e-003     1.1220184543019607e-003    -1.4993257373766028e+001     8.8303175145789032e+002    
 1.7173559931300358e+003     8.7514835275538623e+000     1.7023693449583216e+003     1.1700128999588503e-003     1.1481536214968794e-003    -1.4986648171714251e+001     8.6274636974098598e+002    
 1.6777127578553302e+003     8.7280401873452824e+000     1.6627328680631908e+003     1.1977861601708650e-003     1.1748975549395256e-003    -1.4979889792139375e+001     8.4292282928958934e+002    
 1.6389722702785004e+003     8.7045873324065415e+000     1.6239992912982127e+003     1.2262308151213639e-003     1.2022644346174082e-003    -1.4972978980287735e+001     8.2355061933357058e+002    
 1.6011139893435577e+003     8.6811247508376255e+000     1.5861480769279317e+003     1.2553636539530428e-003     1.2302687708123760e-003    -1.4965912415626008e+001     8.0461946840113092e+002    
 1.5641178417367464e+003     8.6576522262496720e+000     1.5491591550259875e+003     1.2852019108778364e-003     1.2589254117941610e-003    -1.4958686710758911e+001     7.8611933887259863e+002    
 1.5279642112403974e+003     8.6341695376776926e+000     1.5130129128300573e+003     1.3157632780735026e-003     1.2882495516931269e-003    -1.4951298410340087e+001     7.6804042165819715e+002    
 1.4926339283382265e+003     8.6106764595039156e+000     1.4776901843482467e+003     1.3470659189987369e-003     1.3182567385563993e-003    -1.4943743989979794e+001     7.5037313099698542e+002    
 1.4581082600437537e+003     8.5871727613626589e+000     1.4431722401886084e+003     1.3791284821420282e-003     1.3489628825916449e-003    -1.4936019855145332e+001     7.3310809937420413e+002    
 1.4243688999670348e+003     8.5636582080525372e+000     1.4094407776269734e+003     1.4119701152201332e-003     1.3803842646028753e-003    -1.4928122340061464e+001     7.1623617255432134e+002    
 1.3913979586115115e+003     8.5401325594532516e+000     1.3764779109049057e+003     1.4456104798426137e-003     1.4125375446227440e-003    -1.4920047706605828e+001     6.9974840472717153e+002    
 1.3591779538898995e+003     8.5165955704393230e+000     1.3442661617466961e+003     1.4800697666596035e-003     1.4454397707459161e-003    -1.4911792143203456e+001     6.8363605376457986e+002    
 1.3276918018451372e+003     8.4930469907769073e+000     1.3127884500814168e+003     1.5153687110106063e-003     1.4791083881681951e-003    -1.4903351763720366e+001     6.6789057658498098e+002    
 1.2969228075998917e+003     8.4694865650446385e+000     1.2820280849935350e+003     1.5515286090929034e-003     1.5135612484361949e-003    -1.4894722606356709e+001     6.5250362462357009e+002    
 1.2668546564975022e+003     8.4459140325321318e+000     1.2519687558649600e+003     1.5885713346688363e-003     1.5488166189124668e-003    -1.4885900632542189e+001     6.3746703940557052e+002    
 1.2374714054578199e+003     8.4223291271576208e+000     1.2225945237319870e+003     1.6265193563320237e-003     1.5848931924610978e-003    -1.4876881725832845e+001     6.2277284822029083e+002    
 1.2087574745145205e+003     8.3987315773608877e+000     1.1938898128237090e+003     1.6653957553534543e-003     1.6218100973589133e-003    -1.4867661690811474e+001     6.0841325989366123e+002    
 1.1806976385596276e+003     8.3751211060182094e+000     1.1658394023076341e+003     1.7052242441291362e-003     1.6595869074375426e-003    -1.4858236251993503e+001     5.9438066065701219e+002    
 1.1532770192673177e+003     8.3514974303427962e+000     1.1384284182145796e+003     1.7460291852519272e-003     1.6982436524617252e-003    -1.4848601052738104e+001     5.8066761010991195e+002    
 1.1264810772047003e+003     8.3278602617894588e+000     1.1116423255505338e+003     1.7878356112311067e-003     1.7378008287493550e-003    -1.4838751654166572e+001     5.6726683727490638e+002    
 1.1002956041198545e+003     8.3042093059544602e+000     1.0854669205857635e+003     1.8306692448841707e-003     1.7782794100389011e-003    -1.4828683534090942e+001     5.5417123674208415e+002    
 1.0747067154093770e+003     8.2805442624815768e+000     1.0598883233234264e+003     1.8745565204263475e-003     1.8197008586099603e-003    -1.4818392085950563e+001     5.4137386490141705e+002    
 1.0497008427540966e+003     8.2568648249617613e+000     1.0348929701363322e+003     1.9195246052843770e-003     1.8620871366628428e-003    -1.4807872617764360e+001     5.2886793626087047e+002    
 1.0252647269238585e+003     8.2331706808347302e+000     1.0104676065727658e+003     1.9656014226621973e-003     1.9054607179632211e-003    -1.4797120351092644e+001     5.1664681984834419e+002    
 1.0013854107453080e+003     8.2094615112885165e+000     9.8659928032529024e+002     2.0128156748872882e-003     1.9498445997580176e-003    -1.4786130420017798e+001     5.0470403569551974e+002    
 9.7805023223020169e+002     8.1857369911592937e+000     9.6327533436006092e+002     2.0611968675676249e-003     1.9952623149688503e-003    -1.4774897870140762e+001     4.9303325140177213e+002    
 9.5524681786172118e+002     8.1619967888341023e+000     9.4048340020412354e+002     2.1107753345904557e-003     2.0417379446694981e-003    -1.4763417657597643e+001     4.8162827877629314e+002    
